# Urdu word -> IPA, as espeak-ng says it.
# Written by tools/urdu/lexbuild.py; do not edit by hand.
# 101580 words, of which 7504 had to be asked one at a time.
؁	sˈan
آرولہ	aːrˈoːlˌa
آروں	ˈaːrõː
آروین	ˈaːrʋin
آرٹ	ˈaːrʈ
آرٹس	ˈaːrʈs
آرٹسٹ	ˈaːrʈəˌɪsʈ
آرٹسٹس	ˈaːrʈɪsʈs
آرٹسٹوں	ˈaːrʈəsʈˌõː
آرٹسٹک	ˈaːrʈɪsʈˌɪk
آرٹلری	ˈaːrʈəlri
آرٹوں	ˈaːrʈõː
آرٹکل	ˈaːrʈəkˌəl
آرٹی	ˈaːrʈi
آرٹیکل	ˈaːrʈikˌəl
آرٹیکلز	ˈaːrʈikˌələz
آرٹیکلوں	ˈaːrʈiklõː
آرپار	ˌaːrpˈaːr
آرپن	ˈaːrəpˌən
آرچ	ˈaːrc
آرڈر	ˈaːrɖər
آرڈرز	ˈaːrɖərz
آرڈروں	ˈaːrɖərˌõː
آرڈمر	ˈaːrɖəmˌər
آرڈنری	ˈaːrɖənri
آرڈیننس	ˈaːrɖinˌəns
آرڈیننسز	ˈaːrɖinˌənsəz
آرڈیننسوں	ˈaːrɖinnsõː
آرکائیو	ˌaːrkˈaːjʋ
آرکسٹرا	ˌaːrəkˈʌsʈərˌaː
آرکسٹراز	ˌaːrəkˌəsʈərˈaːz
آرکسٹروں	ˌaːrəkˈʌsʈərˌõː
آرکی	ˈaːrkˌiː
آرکیالوجسٹ	ˌaːrkjaːlˈoːɟˌɪsʈ
آرکیالوجسٹس	ˌaːrkjˌaːloːɟˈʌsʈs
آرکیالوجسٹوں	ˌaːrkjˌaːloːɟˈʌsʈõː
آرکیالوجی	ˌaːrkjaːlˈoːɟi
آرکیالوجیکل	ˌaːrkjˌaːloːɟˈiːkəl
آرکین	ˌaːrkˈiːn
آرکیڈ	ˌaːrkˈiːɖ
آرگ	ˈaːrəɡ
آرگن	ˈaːrɡan
آرگنائزیشن	ˈaːrɡanˌaɪzeːʃˌan
آرگنائزیشنز	ˈaːrɡanˌaɪzeːʃˌanz
آرگنائزیشنوں	ˈaːrɡanˌaɪziʃnõː
آرگنائزیشنیں	ˈaːrɡanˌaɪziʃnẽː
آرگنائیزر	ˈaːrɡanˌaːizˌər
آرگنائیزرز	ˈaːrɡanˌaːizˌərz
