# Urdu word -> IPA, as espeak-ng says it.
# Written by tools/urdu/lexbuild.py; do not edit by hand.
# 101580 words, of which 7504 had to be asked one at a time.
؁	sˈan
عروجی	ʊrˈuːɟi
عروس	ʊrˈuːs
عروسان	ˌʊruːsˈaːn
عروسانہ	ˌʊruːsˈaːnˌa
عروسانی	ˌʊruːsˈaːni
عروسک	ʊrˈuːsək
عروسہ	ʊrˈuːsˌa
عروسی	ʊrˈuːsi
عروض	arˈoːz
عروضی	arˈoːzi
عروضیہ	ˌaroːzˈiːa
عروف	arˈoːf
عروفہ	arˈoːfˌa
عروق	arˈoːq
عروقی	arˈoːqi
عروقییت	ˌaroːqˌiːiˈat
عروقییتیں	arˈoːqjitˌẽː
عرونہ	arˈoːnˌa
عروہ	arˈoːa
عرکہ	ˈarəka
عرہون	ˌarhˈoːn
عریان	ˈarjaːn
عریانی	ˈarjaːnˌiː
عریانیات	ˈarjaːnˌiːaːt
عریانیاتی	arjˈaːnjaːtˌiː
عریانیت	ˈarjaːniˌat
عریاں	ˈarjãː
عریج	arˈiːɟ
عرید	arˈiːd
عریر	arˈiːr
عریس	arˈiːs
عریسہ	arˈiːsˌa
عریش	arˈiːʃ
عریشہ	arˈiːʃˌa
عریض	arˈiːz
عریضہ	arˈiːzˌa
عریف	arˈiːf
عریفات	ˌarifˈaːt
عریفہ	arˈiːfˌa
عریفین	ˌarifˈiːn
عریم	arˈiːm
عرین	arˈiːn
عرینات	ˌarinˈaːt
عرینہ	arˈiːnˌa
عرینی	arˈiːni
عریں	ˈarẽː
عز	ˈaz
عزا	ˈazaː
عزائم	azˈaɪm
عزاخانہ	ˌazaːxˈaːnˌa
عزادار	ˌazaːdˈaːr
عزاداری	ˌazaːdˈaːri
عزازیل	ˌazaːzˈiːl
عزالحق	azˈaːləhˌəq
عزالدین	ˌazaːldˈiːn
عزبزہ	ˈazəbˌəzˌa
عزبہ	ˈazəba
عزت	ɪzzˈat
عزتدار	ɪzˈatdaːr
عزتوں	ɪzˈatõː
عزتی	ɪzˈati
عزتیں	ɪzˈatẽː
عزرا	ˈazrˌaː
عزرائیل	ˌazraːˈiːl
عزرہ	ˈazəra
عزل	ˈazəl
عزلائیل	ˌazlaːˈiːl
عزلت	ˈazəlˌət
عزلہ	ˈazəla
عزم	ˈazm
عزما	ˈazmˌaː
عزمت	ˈazəmˌət
عزمی	ˈazmˌiː
عزوجل	azˈoːɟəl
عزوم	azˈoːm
عزہ	ˈazˌa
عزی	ˈazi
عزیر	azˈiːr
عزیز	azˈiːz
عزیزالنسا	ˌazizaːlˈʌnsaː
عزیزامین	ˌazizaːmˈiːn
عزیزانہ	ˌazizˈaːnˌa
عزیزاں	azˈiːzãː
عزیزدار	ˌazizdˈaːr
عزیزداری	ˌazizdˈaːri
عزیزم	azˈiːzəm
عزیزوں	azˈiːzõː
عزیزہ	azˈiːzˌa
عزیزی	azˈiːzi
عزیزیاں	azˈiːzjãː
عزیزییت	ˌazizˌiːiˈat
عزیزییتیں	azˈiːzjitˌẽː
عزیف	azˈiːf
عزیم	azˈiːm
عزیمت	azˈiːmət
عزیہ	azˈiːa
عس	ˈas
عسابر	asˈaːbər
عسار	asˈaːr
عساکر	asˈaːkər
عسایا	asˈaːjaː
عسب	ˈasəb
عسبار	ˌasbˈaːr
عسبی	ˈasbˌiː
عسجد	ˈasəɟˌəd
عسر	ˈasər
عسرالبلع	ˌasrˈaːləblaː
عسرالبلغ	ˌasrˈaːləbˌələɣ
عسرالبول	ˌasrˌaːlbˈoːl
عسرت	ˈasərˌət
عسری	ˈasrˌiː
عسس	ˈasəs
عسسی	ˈassˌiː
عسف	ˈasəf
عسفانیہ	ˌasfaːnˈiːa
عسفی	ˈasfˌiː
عسفیت	ˌasəfiˈat
عسفیتیں	ˌasfiˈatẽː
عسقلان	ˌasəqlˈaːn
عسقلانی	ˌasəqlˈaːni
عسل	ˈasəl
عسلوج	ˌaslˈoːɟ
عسلیہ	ˌaslˈiːa
عسو	ˈasoː
عسول	asˈoːl
عسولات	ˌasoːlˈaːt
عسوں	ˈasõː
عسکر	ˈaskar
عسکری	ˈaskarˌiː
عسکریت	ˈaskarˌiːat
عسکریہ	ˈaskarˌiːa
عسیر	asˈiːr
عسیریں	asˈiːrẽː
عسیف	asˈiːf
عسیقہ	asˈiːqˌa
عش	ˈaʃ
عشا	ˈaʃaː
عشاء	ˈaʃaː
عشاءیہ	ˌaʃaːˈiːa
عشاءے	aʃˈaːeː
عشائر	aʃˈaɪr
عشائیوں	aʃˈaːiˌõː
عشائیہ	ˌaʃaːˈiːa
عشائیے	aʃˈaːjeː
عشار	aʃˈaːr
عشارب	aʃˈaːrəb
عشارم	aʃˈaːrəm
عشاری	aʃˈaːri
عشارین	ˌaʃaːrˈiːn
عشاریہ	ˌaʃaːrˈiːa
عشاش	aʃˈaːʃ
عشاشیت	ˌaʃaːʃiˈat
عشاشیتیں	ˌaʃaːʃiˈatẽː
عشاق	aʃˈaːq
عشایا	aʃˈaːjaː
عشایر	ˌaʃaːjˈar
عشبئی	ˌaʃbˈai
عشبر	ˈaʃəbˌər
عشبہ	ˈaʃəba
عشبی	ˈaʃbˌiː
عشر	ˈaʃər
عشرات	ˌaʃərˈaːt
عشرت	ˌɪʃrˈat
عشرتیں	ˈaʃərtĩː
عشرق	ˈaʃərˌəq
عشرنیہ	ˌaʃərnˈiːa
عشروں	ˈaʃrˌõː
عشرہ	ˈaʃəra
عشری	ˈaʃrˌiː
عشرین	ˌaʃrˈiːn
عشرینہ	ˌaʃrˈiːnˌa
عشرے	ˈaʃrˌeː
عشق	ˈɪʃq
عشقباز	ˌaʃəqbˈaːz
عشقبازی	ˌaʃəqbˈaːzi
عشقی	ˈaʃqˌiː
عشقیات	ˌaʃqiˈaːt
عشقیاتی	ˌaʃqjˈaːti
عشقیہ	ˌaʃqˈiːa
عشم	ˈaʃəm
عشمات	ˌaʃəmˈaːt
عشمہ	ˈaʃəma
عشمین	ˌaʃmˈiːn
عشنا	ˈaʃnˌaː
عشور	aʃˈoːr
عشورہ	aʃˈoːrˌa
عشوہ	aʃˈoːa
عشوہگر	aʃˈoːhəɡˌər
عشوہگری	aʃˈoːhəɡri
عشی	ˈaʃi
عشیب	aʃˈiːb
عشیر	aʃˈiːr
عشیراں	aʃˈiːrãː
عشیرت	aʃˈiːrət
عشیرہ	aʃˈiːrˌa
عشیق	aʃˈiːq
عشیقہ	aʃˈiːqˌa
عشیہ	aʃˈiːa
عصا	ˈaʂaː
عصاؤ	aʂˈaːoː
عصاؤں	ˌaʂaːˈoːn
عصائب	aʂˈaɪb
عصائبی	aʂˈaɪbi
عصائیں	aʂˈaːẽː
عصابت	aʂˈaːbət
عصابتیں	aʂˈaːbtˌẽː
عصابہ	aʂˈaːbˌa
عصابیات	ˌaʂaːbiˈaːt
عصابیاتی	aʂˈaːbjaːtˌiː
عصات	ˌaʂˈaːt
عصاتی	aʂˈaːti
عصار	aʂˈaːr
عصارات	ˌaʂaːrˈaːt
عصاراتی	ˌaʂaːrˈaːti
عصارہ	aʂˈaːrˌa
عصاری	aʂˈaːri
عصاریاں	aʂˈaːrjãː
عصارییت	ˌaʂaːrˌiːiˈat
عصارییتیں	aʂˈaːrjitˌẽː
عصاضیر	ˌaʂaːzˈiːr
عصافیر	ˌaʂaːfˈiːr
عصافیریں	ˌaʂaːfˈiːrẽː
عصام	aʂˈaːm
عصب	ˈaʂb
عصبابی	ˈaʂbaːbˌiː
عصباتی	ˈaʂbaːtˌiː
عصبانی	ˈaʂbaːnˌiː
عصبانیت	ˈaʂbaːniˌat
عصبانیتی	ˈaʂbaːnˌiatˌiː
عصبانیتیں	ˈaʂbaːnˌiatˌẽː
عصبانیہ	ˈaʂbaːnˌiːa
عصبہ	ˈaʂba
عصبی	ˈaʂbi
عصبیات	ˈaʂbiˌaːt
عصبیاتی	ˈaʂbjaːtˌiː
عصبیاں	ˈaʂbjãː
عصبیت	ˈaʂbiˌat
عصبیتیں	ˈaʂbiˌatẽː
عصبیہ	ˈaʂbiˌa
عصد	ˈaʂəd
عصدیں	ˈaʂdˌẽː
عصر	ˈaʂr
عصرا	ˈaʂrˌaː
عصرالحجر	ˌaʂrˈaːləhˌəɟər
عصرانہ	ˌaʂrˈaːnˌa
عصرہ	ˈaʂəra
عصری	ˈaʂrˌiː
عصریت	ˈaʂriˌat
عصریتیں	ˌaʂriˈatẽː
عصریہ	ˌaʂrˈiːa
عصف	ˈaʂəf
عصفر	ˈaʂəfˌər
عصفرین	ˌaʂəfrˈiːn
عصفور	ˌaʂfˈoːr
عصفوں	ˈaʂfˌõː
عصفہ	ˈaʂəfa
عصفیں	ˈaʂfˌẽː
عصل	ˈaʂəl
عصلات	ˌaʂəlˈaːt
عصلیت	ˌaʂəliˈat
عصم	ˈaʂəm
عصمت	ˈaʂmat
عصمتوں	ˈaʂmatˌõː
عصمتی	ˈaʂmatˌiː
عصمتیں	ˈaʂmatˌẽː
عصمۃ	ˈaʂəmˌət
عصنفہ	ˈaʂənˌəfˌa
عصوبت	aʂˈuːbt
عصوبتیں	aʂˈuːbtẽː
عصود	aʂˈoːd
عصور	aʂˈoːr
عصوم	aʂˈoːm
عصہ	ˈaʂˌa
عصیان	ˈaʂjaːn
عصیانات	ˈaʂjaːnaːt
عصیب	aʂˈiːb
عصیبات	ˌaʂibˈaːt
عصیبہ	aʂˈiːbˌa
عصیبی	aʂˈiːbi
عصیبیاں	aʂˈiːbjãː
عصیبین	ˌaʂibˈiːn
عصیدہ	aʂˈiːda
عصیر	aʂˈiːr
عصیرات	ˌaʂirˈaːt
عصیہ	aʂˈiːa
عضاد	azˈaːd
عضال	azˈaːl
عضام	azˈaːm
عضاۃ	azˈaːt
عضب	ˈazəb
عضباء	ˈazbˌaː
عضد	ˈazəd
عضدی	ˈazdˌiː
عضر	ˈazər
عضروط	ˌazrˈoːt
عضرین	ˌazrˈiːn
عضل	ˈazəl
عضلات	ˌazəlˈaːt
عضلاتی	ˌazlˈaːti
عضلہ	ˈazəla
عضلی	ˈazlˌiː
عضلیے	azˈʌljeː
عضو	ˈʊzʋ
عضوض	azˈoːz
عضوضات	ˌazoːzˈaːt
عضوضہ	azˈoːzˌa
عضوضیت	ˌazoːziˈat
عضوضیتیں	ˌazoːziˈatẽː
عضوضین	ˌazoːzˈiːn
عضوی	ˈazʋi
عضویات	ˈazʋiˌaːt
عضویاتی	ˈazʋjaːtˌiː
عضویت	ˌʊzʋiˈat
عضویتیں	ˈazʋitˌẽː
عضویہ	ˈazʋiˌa
عضیض	azˈiːz
عطا	ˈataː
عطاء	ˈataː
عطاؤ	atˈaːoː
عطاؤں	ˌataːˈoːn
عطائی	atˈaːi
عطائیت	ˌataːiˈat
عطائیتیں	ˌataːiˈatẽː
عطائیں	atˈaːẽː
عطار	atˈaːr
عطارد	atˈaːrd
عطاروں	atˈaːrõː
عطاری	atˈaːri
عطاس	atˈaːs
عطاسو	atˈaːsoː
عطاسی	atˈaːsi
عطاش	atˈaːʃ
عطاط	atˈaːt
عطاف	atˈaːf
عطافت	atˈaːfət
عطافرمائے	ˌataːfˌərmˈaːeː
عطالت	atˈaːlət
عطالتیں	atˈaːltˌẽː
عطاکن	atˈaːkən
عطاکیا	atˈaːkjaː
عطایا	atˈaːjaː
عطایوں	ˌataːˈeːõː
عطبل	ˈatəbˌəl
عطبہ	ˈatəba
عطر	ˈɪtr
عطردان	ɪtrdˈaːn
عطریات	ˌɪtriˈaːt
عطریت	ˌɪtriˈat
عطریتیں	ˌɪtriˈatẽː
عطس	ˈatəs
عطش	ˈatəʃ
عطشان	ˌatʃˈaːn
عطف	ˈatəf
عطفہ	ˈatəfa
عطفی	ˈatfˌiː
عطفیہ	ˌatfˈiːa
عطلت	ˈatəlˌət
عطلتیں	ˈatəltĩː
عطموس	ˌatmˈoːs
عطمہ	ˈatəma
عطو	ˈatoː
عطوس	atˈoːs
عطوف	atˈoːf
عطوفت	atˈoːfət
عطوفتی	atˈoːftˌiː
عطوفتیں	atˈoːftˌẽː
عطوفہ	atˈoːfˌa
عطوفیں	atˈoːfẽː
عطوفیہ	ˌatoːfˈiːa
عطیات	ˌatiˈaːt
عطیت	ˌatiˈat
عطیر	atˈiːr
عطیرات	ˌatirˈaːt
عطیرین	ˌatirˈiːn
عطیفہ	atˈiːfˌa
عطیل	atˈiːl
عطینی	atˈiːni
عطینییں	atˈiːnjẽː
عطیوں	ˈatiˌõː
عطیہ	atˈiːa
عطیہدار	atˈiːhdaːr
عطیے	ˈatjeː
عظام	aʐˈaːm
عظایہ	aʐˈaːja
عظم	ˈaʐəm
عظما	ˈaʐmˌaː
عظمت	ˈaʐmat
عظمتوں	ˈaʐəmtõː
عظمتیں	ˈaʐəmtĩː
عظموت	ˌaʐmˈoːt
عظمہ	ˈaʐəma
عظمی	ˈaʐmˌiː
عظمیت	ˌaʐəmiˈat
عظمیتیں	ˌaʐmiˈatẽː
عظمیہ	ˌaʐmˈiːa
عظیم	aʐˈiːm
عظیمہ	aʐˈiːmˌa
عغر	ˈaɣər
عفائف	afˈaɪf
عفار	afˈaːr
عفاریت	ˌafaːriˈat
عفارین	ˌafaːrˈiːn
عفاریں	afˈaːrẽː
عفاش	afˈaːʃ
عفاف	afˈaːf
عفان	afˈaːn
عفانہ	afˈaːnˌa
عفانی	afˈaːni
عفانیاں	afˈaːnjãː
عفت	ɪffˈat
عفتیں	ɪffˈatẽː
عفرنا	ˈafərnaː
عفریت	ˌafəriˈat
عفریتی	ˌafriˈati
عفرین	ˌafrˈiːn
عفشال	ˌafʃˈaːl
عفص	ˈafəʂ
عفن	ˈafən
عفنی	ˈafnˌiː
عفنیہ	ˌafnˈiːa
عفو	ˈafoː
عفوصت	afˈoːʂət
عفوصتیں	afˈoːʂtˌẽː
عفونات	ˌafoːnˈaːt
عفونت	afˈoːnət
عفونتی	afˈoːntˌiː
عفونتیں	afˈoːntˌẽː
عفونی	afˈoːni
عفونیہ	ˌafoːnˈiːa
عفہ	ˈafˌa
عفی	ˈafi
عفیرہ	afˈiːrˌa
عفیف	afˈiːf
عفیفہ	afˈiːfˌa
عقائد	aqˈaɪd
عقائدی	aqˈaɪdi
عقاب	ʊqˈaːb
عقابوں	ʊqˈaːbõː
عقابی	ʊqˈaːbi
عقابین	ˌʊqaːbˈiːn
عقار	aqˈaːr
عقارب	aqˈaːrəb
عقاربین	ˌaqaːrbˈiːn
عقاریں	aqˈaːrẽː
عقاقیر	ˌaqaːqˈiːr
عقال	aqˈaːl
عقالیں	aqˈaːlẽː
عقب	ˈaqəb
عقبات	ˌaqəbˈaːt
عقباتو	ˌaqbˈaːtoː
عقباتوں	ˌaqbˈaːtõː
عقبہ	ˈaqəba
عقبی	ˈaqbˌiː
عقد	ˈaqd
عقدزوجیت	ˌaqədzoːɟiˈat
عقدوں	ˈaqdˌõː
عقدہ	ˈaqdˌa
عقدی	ˈaqdˌiː
عقدے	ˈaqdˌeː
عقر	ˈaqər
عقرب	ˈaqərˌəb
عقربی	ˈaqərbi
عقص	ˈaqəʂ
عقعق	aqˈaːq
عقل	ˈaql
عقلا	ˈaqlˌaː
عقلمند	ˈaqlmand
عقلمندی	aqlmˈandi
عقلہ	ˈaqəla
عقلی	ˈaqlˌiː
عقلیت	ˈaqliˌat
عقلیں	ˈaqlˌẽː
عقلیہ	ˌaqlˈiːa
عقلیین	ˌaqljˈiːn
عقم	ˈaqəm
عقمت	ˈaqəmˌət
عقمو	ˈaqmˌoː
عقموں	ˈaqmˌõː
عقوبات	ˌaqoːbˈaːt
عقوبت	aqˈoːbət
عقوبتیں	aqˈoːbtˌẽː
عقود	aqˈoːd
عقور	aqˈoːr
عقوق	aqˈoːq
عقوقات	ˌaqoːqˈaːt
عقول	aqˈoːl
عقی	ˈaqi
عقیان	ˈaqjaːn
عقیب	aqˈiːb
عقیبات	ˌaqibˈaːt
عقیبہ	aqˈiːbˌa
عقید	aqˈiːd
عقیدت	aqˈiːdət
عقیدتوں	aqˈiːdtˌõː
عقیدتی	aqˈiːdtˌiː
عقیدتیں	aqˈiːdtˌẽː
عقیدوں	aqˈiːdõː
عقیدہ	aqˈiːda
عقیدے	aqˈiːdeː
عقیر	aqˈiːr
عقیرات	ˌaqirˈaːt
عقیرہ	aqˈiːrˌa
عقیرین	ˌaqirˈiːn
عقیف	aqˈiːf
عقیق	aqˈiːq
عقیقوں	aqˈiːqõː
عقیقہ	aqˈiːqˌa
عقیقے	aqˈiːqeː
عقیل	aqˈiːl
عقیلہ	aqˈiːlˌa
عقیم	aqˈiːm
عقیمہ	aqˈiːmˌa
عقیمی	aqˈiːmi
عقیمیت	ˌaqimiˈat
عقیمیتیں	ˌaqimiˈatẽː
علا	ˈalaː
علائق	alˈaɪq
علائم	alˈaɪm
علائیہ	ˌalaːˈiːa
علاتی	alˈaːti
علاج	ɪlˈaːɟ
علاجات	ˌɪlaːɟˈaːt
علاجوں	alˈaːɟõː
علاجی	alˈaːɟi
علاحدگی	alˈaːhədɡi
علاحدہ	alˈaːhədˌa
علاف	alˈaːf
علافی	alˈaːfi
علافیہ	ˌalaːfˈiːa
علاقائی	ˌɪlaːqˈaːi
علاقائیت	ˌɪlaːqˌaːiˈat
علاقوں	ɪlˈaːqõː
علاقہ	ɪlˈaːqa
علاقہدار	ɪlˈaːqhdaːr
علاقے	ɪlˈaːqeː
علالت	alˈaːlət
علالتیں	alˈaːltˌẽː
علالہ	alˈaːlˌa
علام	alˈaːm
علامات	ˌalaːmˈaːt
علامت	alˈaːmət
علامتوں	alˈaːmtˌõː
علامتی	alˈaːmtˌiː
علامتیاں	ˌalaːmˈʌtjãː
علامتیت	ˌalaːmˌətiˈat
علامتیں	alˈaːmtˌẽː
علامہ	alˈaːmˌa
علامی	alˈaːmi
علامیت	ˌalaːmiˈat
علامیہ	ˌalaːmˈiːa
علان	alˈaːn
علانیہ	ˌalaːnˈiːa
علاوہ	alˈaːʋa
علت	ɪllˈat
علتوں	ɪllˈatõː
علتی	ɪllˈati
علتیں	ɪllˈatẽː
علج	ˈaləɟ
علحدہ	ˈaləhˌəda
علس	ˈaləs
علسی	ˈalsˌiː
علضہ	ˈaləza
علطہ	ˈaləta
علف	ˈaləf
علفچی	ˈaləfci
علفہ	ˈaləfa
علفی	ˈalfˌiː
علق	ˈaləq
علقم	ˈaləqˌəm
علقمی	ˈaləqmi
علقگی	ˈaləqɡi
علقہ	ˈaləqa
علقی	ˈalqˌiː
علقیت	ˌaləqiˈat
علقیتیں	ˌalqiˈatẽː
علل	ˈaləl
علم	ˈɪlm
علما	ʊlˈamaː
علماء	ʊlˈamaː
علمائے	ˌʊlamˈaːeː
علمبردار	ˌaləmbərdˈaːr
علمدار	ˌaləmdˈaːr
علمض	ˈaləmˌəz
علموں	ˈalmˌõː
علمی	ˈɪlmˌiː
علمیات	ˈɪlmˌiːaːt
علمیاتی	ˌalmjˈaːti
علمیت	ˌɪlmiˈat
علمیتیں	ˌalmiˈatẽː
علمیہ	ˌalmˈiːa
علن	ˈalən
علنا	ˈalnˌaː
علو	ˈaloː
علوان	ˈalʋaːn
علوج	alˈoːɟ
علوفہ	alˈoːfˌa
علوق	alˈoːq
علوقات	ˌaloːqˈaːt
علوقہ	alˈoːqˌa
علوم	ʊlˈuːm
علوی	ˈalʋi
علویات	ˈalʋiˌaːt
علویت	ˌaloːiˈat
علوین	ˈalʋin
علویہ	ˈalʋiˌa
علک	ˈalək
علہب	ˈaləhˌəb
علی	ˈali
علیا	ˈaljaː
علیان	ˈaljaːn
علیحدگی	ˈalɛhdɡˌiː
علیحدگیاں	ˈalɛhdɡjˌãː
علیحدگیوں	ˈalɛhdɡˌiõː
علیحدہ	ˈalɛhdˌa
علیشیہ	ˌaliʃˈiːa
علیق	alˈiːq
علیل	alˈiːl
علیلہ	alˈiːlˌa
علیم	alˈiːm
علیمہ	alˈiːmˌa
علین	alˈiːn
علیون	ˌaleːˈoːn
علیک	alˈiːk
علیکم	alˈiːkəm
علیگ	alˈiːɡ
علیھم	alˈiːhəm
علیہ	alˈiːa
علیہا	alˈiːhaː
علیہم	alˈiːhəm
علیہما	alˈiːhmaː
علیین	ˈaljin
عم	ˈam
عما	ˈamaː
عماء	ˈamaː
عمائد	amˈaɪd
عمائدہ	amˈaɪda
عمائدین	ˌamaɪdˈiːn
عمائم	amˈaɪm
عمات	ˌamˈaːt
عماد	amˈaːd
عمادہ	amˈaːda
عمادی	amˈaːdi
عمادیات	ˌamaːdiˈaːt
عمادیین	amˈaːdjin
عمار	ɪmˈaːr
عمارات	ˌɪmaːrˈaːt
عمارت	ɪmˈaːrət
عمارتوں	ɪmˈaːrtˌõː
عمارتی	ɪmˈaːrtˌiː
عمارتیں	ɪmˈaːrtˌẽː
عمارہ	ɪmˈaːrˌa
عماری	ɪmˈaːri
عماریاں	ɪmˈaːrjãː
عماز	amˈaːz
عماس	amˈaːs
عمال	amˈaːl
عمالان	ˌamaːlˈaːn
عمالقہ	amˈaːləqa
عمالہ	amˈaːlˌa
عمالیق	ˌamaːlˈiːq
عمالیقی	ˌamaːlˈiːqi
عمام	amˈaːm
عماملہ	amˈaːməla
عمامہ	amˈaːmˌa
عمامے	amˈaːmeː
عمان	amˈaːn
عمانی	amˈaːni
عمانیت	ˌamaːniˈat
عمایت	ˌamaːjˈat
عمایتو	ˌamaːjˈatoː
عمایتوں	ˌamaːjˈatõː
عمایتی	amˈaːjatˌiː
عمایتیں	ˌamaːjˈatẽː
عمد	ˈaməd
عمدا	ˈamdˌaː
عمدار	ˌamdˈaːr
عمدان	ˌamdˈaːn
عمدانہ	ˌamdˈaːnˌa
عمدگی	ˈamədɡi
عمدہ	ˈʊmda
عمدی	ˈamdˌiː
عمدیت	ˌamədiˈat
عمر	ʊmˈar
عمرا	ˈʊmraː
عمراعظم	ˈʊmraːˌɪʐəm
عمراللہ	ˈʊmraːlˌəlˌa
عمرالنسا	ˈʊmraːlnsaː
عمران	ˌɪmrˈaːn
عمرانہ	ˈʊmraːna
عمرانی	ˈʊmraːnˌiː
عمرانیات	ˈʊmraːnˌiːaːt
عمرانیاتی	ˈʊmraːnjˌaːti
عمرانیت	ˌɪmrˈaːniˌat
عمرانیتیں	ˈʊmraːnˌiatˌẽː
عمراہٹ	ˈʊmraːhˌəʈ
عمراہٹیں	ˈʊmraːhʈˌẽː
عمرد	ˈʊmrd
عمرداز	ˈʊmrdaːz
عمرس	ˈʊmrs
عمرط	ˈʊmrt
عمرعبداللہ	ˈʊmraːbdaːlˌəlˌa
عمرفاروق	ˈʊmrfaːrˌoːq
عمرو	ˈʊmroː
عمروط	ˈʊmroːt
عمروں	ˈʊmrõː
عمرپٹا	ˈʊmrpəʈˌaː
عمرگریزاں	ˈʊmrɡərˌiːzãː
عمرہ	ˈʊmra
عمرہدئی	ˈʊmrhədi
عمری	ˈʊmri
عمریا	ˈʊmrjaː
عمریاں	ˈʊmrjãː
عمریں	ˈʊmrẽː
عمریہ	ˈʊmriˌa
عمرے	ˈʊmreː
عمزادہ	ˌamzˈaːda
عمش	ˈaməʃ
عمصیرہ	ˌamʂˈiːrˌa
عمق	ˈaməq
عمل	ˈaməl
عملا	ˈamlˌaː
عملاتی	ˌamlˈaːti
عملدار	ˌaməldˈaːr
عملداری	ˌaməldˈaːri
عملدرآمد	amˈaldarˌaːmad
عملوں	ˈamlˌõː
عملہ	ˈaməla
عملی	ˈamlˌiː
عملیات	ˌamliˈaːt
عملیت	ˌaməliˈat
عملیتیں	ˌamliˈatẽː
عملیہ	ˌamlˈiːa
عملے	ˈamlˌeː
عمو	ˈamoː
عمود	amˈoːd
عمودا	amˈoːdaː
عمودی	amˈoːdi
عمودیت	ˌamoːdiˈat
عمودیتیں	ˌamoːdiˈatẽː
عمودین	ˌamoːdˈiːn
عمور	amˈoːr
عمورہ	amˈoːrˌa
عموق	amˈoːq
عموقات	ˌamoːqˈaːt
عموقہ	amˈoːqˌa
عموقین	ˌamoːqˈiːn
عمول	amˈoːl
عمولات	ˌamoːlˈaːt
عمولہ	amˈoːlˌa
عمولین	ˌamoːlˈiːn
عموم	ʊmˈuːm
عموما	ʊmˈuːmaː
عمومی	ʊmˈuːmi
عمومیات	ˌʊmuːmiˈaːt
عمومیت	ˌʊmuːmiˈat
عمومیتیں	ˌʊmuːmiˈatẽː
عمومیہ	ˌʊmuːmˈiːa
عموی	ˈamʋi
عمکیہ	ˌamkˈiːa
عمہ	ˈamˌa
عمی	ˈami
عمیا	ˈamjaː
عمیانہ	ˈamjaːna
عمیثل	amˈiːsəl
عمید	amˈiːd
عمیدات	ˌamidˈaːt
عمیدر	amˈiːdər
عمیدہ	amˈiːda
عمیدی	amˈiːdi
عمیدین	ˌamidˈiːn
عمیر	ʊmˈeːr
عمیرہ	ʊmˈeːra
عمیق	amˈiːq
عمیل	amˈiːl
عمیم	amˈiːm
عمیمہ	amˈiːmˌa
عمیہ	amˈiːa
عن	ˈan
عنا	ˈanaː
عنائیت	ˌanaːiˈat
عناب	anˈaːb
عنابس	anˈaːbəs
عنابوں	anˈaːbõː
عنابی	anˈaːbi
عنابیا	anˈaːbjaː
عناد	anˈaːd
عنادا	anˈaːdaː
عنادل	anˈaːdɪl
عنادی	anˈaːdi
عنادین	ˌanaːdˈiːn
عنادیہ	ˌanaːdˈiːa
عنار	anˈaːr
عناس	anˈaːs
عناصر	anˈaːʂɪr
عناق	anˈaːq
عنان	anˈaːn
عنانت	anˈaːnət
عنانتیں	anˈaːntˌẽː
عنانگیر	ˌanaːnɡˈiːr
عناوین	ˌanaːʋˈiːn
عناکب	anˈaːkəb
عناں	ˈanãː
عنایات	ˌanaːiˈaːt
عنایت	ˌanaːjˈat
عنایتوں	ˌanaːjˈatõː
عنایتیں	ˌanaːjˈatẽː
عنب	ˈanb
عنبار	ˈanbaːr
عنبدی	ˈanbədˌiː
عنبر	ˈanbər
عنبربیز	ˈanbərbiz
عنبری	ˈanbərˌiː
عنبرین	ˈanbərˌiːn
عنبرینہ	ˈanbərˌiːnˌa
عنبرینی	ˈanbərˌiːni
عنبریں	ˈambarˌĩː
عنبس	ˈanbəs
عنبہ	ˈanbəˌa
عنبی	ˈanbi
عنبیہ	ˈanbiˌa
عنت	ˈanət
عنتر	ˈanətˌər
عنترات	ˌanətˌərˈaːt
عنترہ	ˈanətˌərˌa
عنتری	ˈanətri
عنتریں	ˈanətrẽː
عنتی	ˈantˌiː
عنثہ	ˈanəsa
عنجوج	ˈanɟoːɟ
عنجوجات	ˈanɟoːɟaːt
عنجوجہ	ˈanɟoːɟa
عنجوجیں	ˈanɟoːɟˌẽː
عند	ˈand
عندالضرورت	ˌandaːlzarˈuːrt
عنداللہ	ˈandaːlˌəlˌa
عندالملاقات	ˈandaːlmʊlˌaːqaːt
عندالناس	ˈandaːlnaːs
عندالپڑتال	ˈandaːlˌəpər.taːl
عندل	ˈandəl
عندلہ	ˈandəla
عندلیب	ˈandəlˌiːb
عندلیبی	ˈandəlˌiːbi
عندلیبیاں	ˌandəlˈiːbjãː
عندلیبیں	ˈandəlˌiːbẽː
عندلیوں	ˈandəlˌiõː
عندہ	ˈanda
عندیات	ˈandiˌaːt
عندیت	ˈandəˌiːat
عندیتی	ˈandiˌati
عندیتیں	ˈandiˌatẽː
عندیوں	ˈandiˌõː
عندیہ	ˈandiˌa
عندیے	ˈandjeː
عنر	ˈanər
عنرا	ˈanrˌaː
عنزہ	ˈanəza
عنشہ	ˈanəʃa
عنصر	ˈanəʂˌər
عنصری	ˈanəʂri
عنصریات	ˌanəʂriˈaːt
عنصریہ	ˌanəʂrˈiːa
عنف	ˈanəf
عنفوان	ˌanfʋˈaːn
عنفوانہ	ˌanfʋˈaːnˌa
عنفوانیات	ˌanfʋˌaːniˈaːt
